Error date: Fri May 7 15:58:34 CEST 2021' | Error details: Undefined array key "email"
Error date: Fri May 7 16:01:51 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id OR sep_messages.user_id = sep_users.other_user_id)                 ...' at line 3
Error date: Fri May 7 16:01:53 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id OR sep_messages.user_id = sep_users.other_user_id)                 ...' at line 3
Error date: Fri May 7 16:02:04 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id)                 WHERE sep_user_info.user_id = 1' at line 3
Error date: Fri May 7 16:02:05 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id)                 WHERE sep_user_info.user_id = 1' at line 3
Error date: Fri May 7 16:02:05 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id)                 WHERE sep_user_info.user_id = 1' at line 3
Error date: Fri May 7 16:02:07 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id)                 WHERE sep_user_info.user_id = 1' at line 3
Error date: Fri May 7 16:02:08 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.user_id)                 WHERE sep_user_info.user_id = 1' at line 3
Error date: Fri May 7 16:02:31 CEST 2021' | Error details: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'sep_users.other_user_id' in 'on clause'
Error date: Fri May 7 16:02:31 CEST 2021' | Error details: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'sep_users.other_user_id' in 'on clause'
Error date: Fri May 7 16:04:12 CEST 2021' | Error details: Undefined array key "email"
Error date: Fri May 7 16:10:21 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 16:33:09 CEST 2021' | Error details: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'sep_users.user_image' in 'field list'
Error date: Fri May 7 16:35:12 CEST 2021' | Error details: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'sep_users.user_image' in 'field list'
Error date: Fri May 7 16:35:18 CEST 2021' | Error details: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'sep_users.user_image' in 'field list'
